minute_offset,pv_power,house_load,tariff_price,prod_price,forecast_pv_power
720,1283.95773,155.60896000000002,0.2159,0.1159,1559.78746
735,955.9876700000001,158.80440000000002,0.2164,0.1164,1318.16289
750,820.2004800000001,155.69296,0.2075,0.1061,1080.18823
765,757.5510800000001,129.1996,0.2054,0.1042,854.87094
780,648.9945,122.41352,0.2053,0.1033,669.3188700000001
795,494.53074000000004,127.45992000000001,0.1965,0.0948,528.1505900000001
810,294.15969,143.76224,0.1774,0.0764,378.89137000000005
825,141.34153,159.53336000000002,0.1678,0.0671,271.04055
840,129.53633000000002,192.20664,0.1683,0.0676,235.91898000000003
855,258.74398,1505.50808,0.159,0.0585,253.28336000000002
870,528.96459,189.96824,0.1646,0.0641,441.70027000000005
885,805.0040900000001,229.70416,0.1607,0.0605,595.55672
900,951.6685200000001,220.52464,0.1717,0.0714,723.8775500000002
915,968.9578800000002,230.00008,0.175,0.0747,770.3403400000001
930,856.8721700000001,203.31872,0.17,0.0681,716.33826
945,693.2714800000001,211.7432,0.1777,0.0756,713.97447
960,556.01579,227.35016000000002,0.1856,0.0828,640.2235400000001
975,445.10532000000006,206.18248,0.166,0.064,581.6880300000001
990,360.53985000000006,210.16616,0.1903,0.0879,485.56365
1005,290.98773,204.67392,0.194,0.0921,349.63973000000004
1020,225.11709000000002,196.19032,0.1572,0.0572,264.70774000000006
1035,162.92804,364.29824,0.1879,0.0879,202.19606000000002
1050,104.42047000000001,550.6076,0.2164,0.1164,141.9704
1065,55.446600000000004,650.70232,0.2384,0.1384,98.40732000000001
1080,21.858650000000004,720.60152,0.2027,0.1027,54.93752
1095,3.65684,1226.98336,0.2164,0.1164,25.40604
1110,0.84084,1555.2988,0.2277,0.1277,9.687700000000001
1125,4.99422,1837.23448,0.2384,0.1384,4.18924
1140,7.700000000000001,2215.44672,0.2281,0.1281,5.13876
1155,8.958290000000002,1683.2668000000003,0.2384,0.1384,6.98951
1170,8.76909,1253.6595200000002,0.24,0.14,7.302020000000001
1185,7.917910000000001,900.54864,0.2437,0.1437,7.68889
1200,7.190150000000001,440.29184,0.24,0.14,7.289480000000001
1215,6.58592,456.0668800000001,0.2407,0.1407,6.689540000000001
1230,6.105220000000001,1763.3806400000003,0.242,0.142,6.69075
1245,5.744420000000001,474.16616000000005,0.2414,0.1414,6.06397
1260,5.5,1782.2362400000002,0.2592,0.1592,5.839900000000001
1275,5.3719600000000005,451.48648000000003,0.2494,0.1494,6.18475
1290,5.36019,444.1956,0.2424,0.1424,5.49329
1305,5.436090000000001,359.8604,0.2384,0.1384,5.65939
1320,5.57117,335.07128,0.2445,0.1445,5.6672
1335,5.765210000000001,273.94632,0.24,0.14,5.07133
1350,6.01832,298.67872000000006,0.2391,0.1391,5.84089
1365,6.2647200000000005,275.88232,0.2364,0.1364,6.120950000000001
1380,6.43907,229.0912,0.2384,0.1384,6.560840000000001
1395,6.54104,218.00144,0.2313,0.1313,7.10281
